PING 159.203.42.218 (159.203.42.218) 56(84) bytes of data.
64 bytes from 159.203.42.218: icmp_seq=1 ttl=64 time=0.032 ms
64 bytes from 159.203.42.218: icmp_seq=2 ttl=64 time=0.055 ms
64 bytes from 159.203.42.218: icmp_seq=3 ttl=64 time=0.064 ms
64 bytes from 159.203.42.218: icmp_seq=4 ttl=64 time=0.042 ms
64 bytes from 159.203.42.218: icmp_seq=5 ttl=64 time=0.046 ms
64 bytes from 159.203.42.218: icmp_seq=6 ttl=64 time=0.062 ms
64 bytes from 159.203.42.218: icmp_seq=7 ttl=64 time=0.040 ms
64 bytes from 159.203.42.218: icmp_seq=8 ttl=64 time=0.041 ms
64 bytes from 159.203.42.218: icmp_seq=9 ttl=64 time=0.049 ms
64 bytes from 159.203.42.218: icmp_seq=10 ttl=64 time=0.042 ms


